date,ticker,close
200701,BP,63.51
200702,BP,61.54
200703,BP,64.75
200704,BP,67.32
200705,BP,67.01
200706,BP,72.14
200707,BP,69.4
200708,BP,67.36
200709,BP,69.35
200710,BP,77.99
200711,BP,72.74
200712,BP,73.17
200801,BP,63.95
200802,BP,64.87
200803,BP,60.65
200804,BP,72.79
200805,BP,72.51
200806,BP,69.57
200807,BP,61.44
200808,BP,57.63
200809,BP,50.17
200810,BP,49.7
200811,BP,48.69
200812,BP,46.74
200901,BP,42.47
200902,BP,38.36
200903,BP,40.1
200904,BP,42.46
200905,BP,49.5
200906,BP,47.68
200907,BP,50.04
200908,BP,51.45
200909,BP,53.23
200910,BP,56.62
200911,BP,57.18
200912,BP,57.97
201001,BP,56.12
201002,BP,53.21
201003,BP,57.07
201004,BP,52.15
201005,BP,42.95
201006,BP,28.88
201007,BP,38.47
201008,BP,34.83
201009,BP,41.17
201010,BP,40.8
201011,BP,40
201012,BP,44.17
201101,BP,47.47
201102,BP,48.47
201103,BP,44.14
201104,BP,46.14
201105,BP,46.24
201106,BP,44.29
201107,BP,45.44
201108,BP,39.39
201109,BP,36.07
201110,BP,44.18
201111,BP,43.55
201112,BP,42.74
201201,BP,45.91
201202,BP,47.16
201203,BP,45
201204,BP,43.41
201205,BP,36.46
201206,BP,40.54
201207,BP,39.9
201208,BP,42.06
201209,BP,42.36
201210,BP,42.89
201211,BP,41.76
201212,BP,41.64
201301,BP,44.52
201302,BP,40.4
201303,BP,42.35
201304,BP,43.6
201305,BP,42.91
201306,BP,41.74
201307,BP,41.44
201308,BP,41.3
201309,BP,42.03
201310,BP,46.5
201311,BP,47.01
201312,BP,48.61
201401,BP,46.89
201402,BP,50.61
201403,BP,48.1
201404,BP,50.62
201405,BP,50.45
201406,BP,52.75
201407,BP,48.97
201408,BP,47.84
201409,BP,43.95
201410,BP,43.46
201411,BP,39.32
201412,BP,38.12
201501,BP,38.83
201502,BP,41.44
201503,BP,39.11
201504,BP,43.16
201505,BP,41.46
201506,BP,39.96
201507,BP,36.97
201508,BP,33.54
201509,BP,30.56
201510,BP,35.7
201511,BP,34.6
201512,BP,31.26
201601,BP,32.37
201602,BP,29.09
201603,BP,30.18
201604,BP,33.58
201605,BP,31.4
201606,BP,35.51
201607,BP,34.4
201608,BP,33.86
201609,BP,35.16
201610,BP,35.55
201611,BP,35.01
201612,BP,37.38
201701,BP,35.98
201702,BP,33.92
201703,BP,34.52
